Date,Close,High,Low,Open,Volume
2014-03-10,62.85,64.1109,61.7287,64.0371,15459675
2014-03-11,62.4971,63.8114,62.2357,63.2343,10453079
2014-03-12,62.3686,62.7857,61.3829,61.9543,12152063
2014-03-13,61.4371,62.8971,61.1829,62.8157,11390225
2014-03-14,60.6414,62.1414,60.4286,61.1043,15005844
2014-03-17,60.3886,61.5429,60.33,60.8357,10704666
2014-03-18,60.0357,60.8943,59.5,60.3386,14728917
2014-03-19,60.0129,60.7784,59.58,59.9814,10531542
2014-03-20,60.61,61.7429,59.9286,59.9314,14495075
2014-03-21,57.9986,61.1914,57.9629,61.1914,26799059
2014-03-24,54.1286,58.0643,52.6571,57.9229,42484022
2014-03-25,52.9771,54.99,52.25,54.1429,30405592
2014-03-26,53.1829,53.9214,52.3673,53.2886,27159321
2014-03-27,52.0257,53.9757,51.6471,53.0014,28671909
2014-03-28,51.2671,52.7143,50.8214,51.46,24624159
2014-03-31,50.29,52.4086,49.9829,51.7214,22125362
2014-04-01,52.0986,52.1786,50.2486,50.25,21357084
2014-04-02,51.84,53.0071,51.1857,52.3214,24194443
2014-04-03,50.67,52.1571,50.0143,51.6186,22001427
2014-04-04,48.1871,50.8571,47.9829,50.7786,34990256
2014-04-07,48.2857,49.7414,47.3014,48.7086,37351223
2014-04-08,49.8414,50.1124,48.3414,48.4314,25792130
2014-04-09,50.4329,50.5571,49.0214,50.1471,20529103
2014-04-10,47.8186,51.0686,47.7157,50.64,24917956
2014-04-11,46.6729,47.8314,46.23,47.1429,30165856
2014-04-14,47.3686,47.8571,46.5057,47.5557,18001067
2014-04-15,46.61,47.3671,44.5857,47.0114,30826544
2014-04-16,47.3443,47.71,46.1943,47.5357,16122890
2014-04-17,49.3914,49.9614,47.5,48.2086,32141907
2014-04-18,49.3914,49.3914,49.3914,49.3914,0
2014-04-21,49.7843,49.9143,48.3286,49.9,47892649
2014-04-22,53.2714,54.4114,52.1186,53.8043,64702378
2014-04-23,50.5,52.5,50.4286,51.8186,40347181
2014-04-24,49.1529,50.8427,47.8286,50.4043,30659629
2014-04-25,46.0114,48.7728,46.0,48.2086,33113493
2014-04-28,44.8871,45.8429,42.7857,45.4357,47123643
2014-04-29,45.6957,46.3757,44.5757,44.6057,23135490
2014-04-30,46.0057,46.0571,44.3214,45.4171,23631923
2014-05-01,48.0741,49.3843,46.15,46.2929,37013753
2014-05-02,48.6643,49.1286,47.7214,48.2157,26230295
2014-05-05,49.1971,49.3543,48.0143,48.3329,20336071
2014-05-06,46.5986,49.6743,46.52,49.1029,22722868
2014-05-07,45.7914,46.8344,45.0301,46.59,25682468
2014-05-08,45.9514,47.3886,44.9086,45.3086,21182511
2014-05-09,46.9357,47.1343,45.3357,46.04,17968643
2014-05-12,49.35,49.3614,47.2171,47.2514,21401415
2014-05-13,49.5914,50.61,48.6771,49.1929,20831762
2014-05-14,50.2686,50.6286,49.4371,49.5286,19909652
2014-05-15,49.17,50.2557,48.4829,50.0914,23373973
2014-05-16,49.9829,49.9957,48.5486,49.2214,19077779
2014-05-19,52.0714,52.4603,49.5075,49.5714,25423706
2014-05-20,53.0957,53.2429,51.7714,52.1443,28843437
2014-05-21,55.8,55.8129,53.3357,53.5886,39967319
2014-05-22,55.9714,56.7857,55.3571,55.83,33228594
2014-05-23,57.4786,57.4957,55.6659,55.9486,22140601
2014-05-26,57.4786,57.4786,57.4786,57.4786,0
2014-05-27,56.9729,57.46,56.1643,57.36,26752866
2014-05-28,57.32,57.8857,56.2143,56.7429,19880084
2014-05-29,59.3143,59.4271,57.0786,57.6286,22862644
2014-05-30,59.69,60.2486,58.8014,59.36,29237537
2014-06-02,60.2943,60.4157,58.9286,59.9257,20501467
2014-06-03,59.6529,60.8,59.5786,59.9986,17140074
2014-06-04,60.4586,60.6429,59.0429,59.5371,17444735
2014-06-05,61.1929,61.3429,59.7957,60.5714,18946123
2014-06-06,61.4471,62.1271,61.1943,61.43,15734915
2014-06-09,60.4414,61.5214,60.0129,61.3486,16710953
2014-06-10,61.1843,62.2914,60.7171,60.7886,22940848
2014-06-11,61.4286,61.8,60.7143,60.7471,13752816
2014-06-12,60.35,61.4639,60.0714,61.2957,15839082
2014-06-13,61.1014,61.1286,59.6014,60.4286,15789697
2014-06-16,61.4657,61.6014,60.4886,60.9329,12550419
2014-06-17,63.3786,64.0128,62.5386,62.5771,28999670
2014-06-18,64.0971,64.4029,62.8929,63.3743,18796344
2014-06-19,63.0557,64.2129,62.58,64.1586,17341198
2014-06-20,62.8829,63.2686,62.14,63.0286,13247787
2014-06-23,62.7886,63.1229,62.2214,62.7743,10691751
2014-06-24,62.3371,64.2771,62.2143,62.5786,20399071
2014-06-25,63.4586,63.5371,61.9043,62.1429,15763384
2014-06-26,62.8014,63.1629,62.3929,62.97,14249025
2014-06-27,63.1543,63.3129,62.4857,62.5586,15589511
2014-06-30,62.9429,63.8383,62.8129,63.2657,10614002
2014-07-01,67.5857,67.6686,65.0429,65.1143,38039386
2014-07-02,66.6771,67.9814,66.5771,67.6429,17322207
2014-07-03,67.4786,67.5171,66.9814,67.1657,11359495
2014-07-04,67.4786,67.4786,67.4786,67.4786,0
2014-07-07,65.8029,67.4614,65.7143,67.4429,18339230
2014-07-08,63.5786,65.8571,62.7544,65.7143,26200958
2014-07-09,63.2857,64.1914,62.8186,63.74,21016002
2014-07-10,62.65,63.4557,61.1714,62.0971,24397541
2014-07-11,62.8514,63.4471,62.45,63.0657,14237132
2014-07-14,64.6543,65.0686,62.7143,63.3286,17439100
2014-07-15,64.1557,64.4814,63.1814,64.3843,13519471
2014-07-16,63.4914,65.1,63.3429,64.8786,13452124
